batch,run,h_ip,N_e,has_full_raster,n_avalanches,branching_ratio_exp,branching_ratio_complex,dfa,branching_parameter,susceptibility,fano_factor,activity,cv,av_threshold_used
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-001,0.02,200,False,510739,0.942604023077726,0.8187307530779819,0.07165674464674418,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-003,0.02,200,False,529028,0.8164068612100586,0.9867699862232943,0.26085040873553644,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-004,0.02,200,False,492583,0.9051929121564638,0.8187307530779819,0.2529811264551482,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-005,0.02,200,False,498974,0.8635823270817584,0.8494298219246977,0.18503101566719474,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-006,0.02,200,False,512751,0.841803375819881,0.8249862744325279,0.4168819201424987,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-008,0.02,200,False,493787,0.870235066864887,0.9065523786078727,0.42521294507465546,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-009,0.02,200,False,504946,0.9247608576048432,0.9008999926249405,0.21874153325014337,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-010,0.02,200,False,500015,0.8685695493512087,0.9989664651267953,0.17627133051988783,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-011,0.02,200,False,501960,0.8979604143984097,0.9252151530611751,0.12434177794738208,,,,,,2.0
2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02,2026-09-15_hip0.02-0.08_step0.03/h_ip_0.02/run-013,0.02,200,False,514481,0.8917560132311518,0.893113779036014,0.28783943922218663,,,,,,2.0
