batch,run,h_ip,N_e,has_full_raster,n_avalanches,branching_ratio_exp,branching_ratio_complex,dfa,branching_parameter,susceptibility,fano_factor,activity,cv,av_threshold_used
data/.,data/./n200-run-001,0.1,200,False,346723,0.9516062073766309,0.9332373857672461,0.014530210459964889,,,,,,14.0
data/.,data/./n200-run-002,0.1,200,False,339137,0.9150353965371768,0.8187307530779819,0.03338999419513083,,,,,,15.0
data/.,data/./n200-run-003,0.1,200,False,277235,0.9664973563477514,0.8187307530779819,0.011449221799295783,,,,,,13.0
data/.,data/./n200-run-004,0.1,200,False,412155,0.796189521355751,0.998394566555057,0.048439770412530225,,,,,,16.0
data/.,data/./n200-run-005,0.1,200,False,386458,0.911938563976895,0.9822406950213654,0.01969560337011483,,,,,,13.0
data/.,data/./n200-run-006,0.1,200,False,403705,0.8313725406078383,0.891271930671374,0.07268894835942165,,,,,,16.0
data/.,data/./n200-run-007,0.1,200,False,410760,0.9029132422769424,0.9923829041579723,0.02436489184371808,,,,,,14.0
data/.,data/./n200-run-008,0.1,200,False,328222,0.9396883127452349,0.9925518641166079,0.022211945399079495,,,,,,15.0
data/.,data/./n200-run-009,0.1,200,False,362833,0.9323083014279337,0.9871786793091192,0.010760710431843649,,,,,,13.0
data/.,data/./n200-run-010,0.1,200,False,345402,0.6943265656912544,0.8187310343259814,0.04632771138620581,,,,,,14.0
data/.,data/./n200-run-011,0.1,200,False,274977,0.9681245290563174,0.8187307530779819,0.019083922913244598,,,,,,12.0
data/.,data/./n200-run-012,0.1,200,False,382200,0.8463130167835011,0.905797882152023,0.04582247744802023,,,,,,16.0
data/.,data/./n200-run-013,0.1,200,False,403356,0.8972821624512316,0.9100542592323149,0.045927477161537916,,,,,,16.0
data/.,data/./n200-run-014,0.1,200,False,410810,0.905043532006945,0.9395817870356163,0.04171478916998571,,,,,,16.0
data/.,data/./n200-run-015,0.1,200,False,384942,0.9058941735423601,0.8187307530779819,0.014764136002488463,,,,,,13.0
data/.,data/./n200-run-016,0.1,200,False,279020,0.9662445332911455,0.8187307530779819,0.012308153408602671,,,,,,13.0
data/.,data/./n200-run-017,0.1,200,False,372461,0.8620799906923304,0.9933986717725315,0.025444641782165454,,,,,,14.0
data/.,data/./n200-run-018,0.1,200,False,261666,0.9689607726649276,0.822324273418087,0.036322290730331226,,,,,,16.0
data/.,data/./n200-run-019,0.1,200,False,414697,0.9234479115530259,0.94237766367728,0.04415646825151586,,,,,,16.0
data/.,data/./n200-run-020,0.1,200,False,287581,0.9496492484237472,0.968228060192689,0.02675644931189857,,,,,,15.0
data/.,data/./n200-run-021,0.1,200,False,404774,0.9054789830618416,0.9448848429660456,0.036861728860216936,,,,,,15.0
data/.,data/./n200-run-022,0.1,200,False,219670,0.9718321980039292,0.8187307530779819,0.03222337562714527,,,,,,14.0
data/.,data/./n200-run-023,0.1,200,False,383203,0.63047868286172,0.8187307607228846,0.05164711530231994,,,,,,15.0
data/.,data/./n200-run-024,0.1,200,False,379301,0.9530754982797549,0.8239835351969325,0.048406764196622716,,,,,,16.0
data/.,data/./n200-run-025,0.1,200,False,306375,0.9065767543050617,0.9256226428077171,0.042019054401939385,,,,,,15.0
data/.,data/./n200-run-026,0.1,200,False,326744,0.9204174366636967,0.964341935695654,0.03132997796855503,,,,,,15.0
data/.,data/./n200-run-027,0.1,200,False,360645,0.9314856321170212,0.9927112936455295,0.029444440853230804,,,,,,14.0
data/.,data/./n200-run-028,0.1,200,False,369891,0.8715758151638132,0.934013916409983,0.04330155802401541,,,,,,16.0
data/.,data/./n200-run-029,0.1,200,False,292758,0.9654783420443303,0.8189201695028151,0.011974647480027648,,,,,,13.0
data/.,data/./n200-run-030,0.1,200,False,356380,0.9582399098286489,0.8187307530779819,0.009109577697243697,,,,,,12.0
data/.,data/./n200-run-031,0.1,200,False,394930,0.9025541720247362,0.9636284789354106,0.05111852459352918,,,,,,16.0
data/.,data/./n200-run-032,0.1,200,False,433899,0.7453445665279357,0.9242181515476514,0.05615213856746923,,,,,,15.0
data/.,data/./n200-run-033,0.1,200,False,420088,0.9361040158492873,0.9760325855509894,0.058805039811861325,,,,,,16.0
data/.,data/./n200-run-034,0.1,200,False,399261,0.8662313076286898,0.8768042750048847,0.045725957465261986,,,,,,16.0
data/.,data/./n200-run-035,0.1,200,False,351839,0.8772566601460562,0.8972063338476453,0.040545318873968894,,,,,,15.0
data/.,data/./n200-run-036,0.1,200,False,352072,0.7419746432955905,0.8659952380203916,0.04927471527462575,,,,,,15.0
data/.,data/./n200-run-037,0.1,200,False,328226,0.957968437819021,0.8187307530779819,0.024246069699195332,,,,,,14.0
data/.,data/./n200-run-038,0.1,200,False,413587,0.870932733714348,0.9942355829208785,0.049551207409112806,,,,,,16.0
data/.,data/./n200-run-039,0.1,200,False,369870,0.9414811611752414,0.9971108418543119,0.015944269224850417,,,,,,12.0
data/.,data/./n200-run-040,0.1,200,False,373054,0.9176429915035068,0.9529421866815506,0.02475320408794721,,,,,,14.0
data/.,data/./n200-run-041,0.1,200,False,342809,0.9625901801188267,0.8187307530779819,0.009420890433093984,,,,,,12.0
data/.,data/./n200-run-042,0.1,200,False,376430,0.9618812797512455,0.9916766093005936,0.04764756331150326,,,,,,17.0
data/.,data/./n200-run-043,0.1,200,False,329778,0.6974646141883112,0.8187353279998719,0.04611476704059322,,,,,,15.0
data/.,data/./n200-run-044,0.1,200,False,391432,0.9020789220377374,0.9974373423134281,0.06249472361470436,,,,,,16.0
data/.,data/./n200-run-045,0.1,200,False,401199,0.9083558403624926,0.8187307668463715,0.021990963347409177,,,,,,13.0
data/.,data/./n200-run-046,0.1,200,False,356154,0.9614643438304379,0.8187671023529103,0.016189272894896422,,,,,,12.0
data/.,data/./n200-run-047,0.1,200,False,395472,0.9335046284539865,0.9958270968849113,0.04556470593079855,,,,,,16.0
data/.,data/./n200-run-048,0.1,200,False,373057,0.9051544299014933,0.8187307543644201,0.053055379945610964,,,,,,16.0
